"","Compound","Code","Mass_ug","site","Rainfallevent","duration","LOQ_L","LOQ_E","not_using","comment","type"
"1","2-4-D","CH41",0.101485060272704,"S","2",5,0.0045,0.00025,NA,NA,"Herbicide"
"2","2-4-D","RO1",0.00572123499070937,"A","1",6,0.0045,0.00025,NA,NA,"Herbicide"
"3","2-4-D","CH57",0.00138025081572105,"L","3",6,0.0045,0.00025,NA,"burried","Herbicide"
"4","2-4-D","CH60",0.0249898560440101,"N","3",6,0.0045,0.00025,NA,NA,"Herbicide"
"5","2-4-D","CH23",0.102697957780774,"C","2",5,0.0045,0.00025,NA,NA,"Herbicide"
"6","2-4-D","CH33",0.0133762469983764,"K","2",5,0.0045,0.00025,NA,NA,"Herbicide"
"7","2-4-D","CH78",0.00130753603496282,"K","B",5,0.0045,0.00025,NA,NA,"Herbicide"
"8","2-4-D","CH83",0.00978618683158558,"N","B",5,0.0045,0.00025,NA,NA,"Herbicide"
"9","2-4-D","RO7",0.165253731364331,"F","1",6,0.0045,0.00025,NA,NA,"Herbicide"
"10","2-4-D","RO2",0.00755166174395194,"B","1",6,0.0045,0.00025,NA,NA,"Herbicide"
"11","2-4-D","CH46",0.0465791140285545,"C","3",6,0.0045,0.00025,NA,NA,"Herbicide"
"12","2-4-D","CH71",0.00392938031545418,"E","B",5,0.0045,0.00025,NA,NA,"Herbicide"
"13","2-4-D","CH42",0.0443639610849182,"T","2",5,0.0045,0.00025,NA,NA,"Herbicide"
"14","2-4-D","CH88",0.00213581674406622,"R","B",5,0.0045,0.00025,NA,NA,"Herbicide"
"15","2-4-D","RO16",0.0263852853980104,"P","1",6,0.0045,0.00025,NA,NA,"Herbicide"
"16","2-4-D","RO4",0.0130619955990735,"D","1",6,0.0045,0.00025,NA,NA,"Herbicide"
"17","2-4-D","CH61",0.0249840407848873,"P","3",6,0.0045,0.00025,NA,NA,"Herbicide"
"18","2-4-D","CH72",0.0953230301851266,"F","B",5,0.0045,0.00025,NA,NA,"Herbicide"
"19","2-4-D","CH76",0.0191221826800024,"H","B",5,0.0045,0.00025,NA,NA,"Herbicide"
