site;date;sample_id;variable;direction;qualifier;value;unit;comment
A;21.06.2016;A_2016-06-21;dist_field;R;NA;5;m;NA
A;21.06.2016;A_2016-06-21;dist_field;L;>;1000;m;NA
B;21.06.2016;B_2016-06-21;dist_field;R;NA;10;m;NA
B;21.06.2016;B_2016-06-21;dist_field;L;NA;10;m;NA
C;20.06.2016;C_2016-06-20;dist_field;R;NA;3;m;NA
C;20.06.2016;C_2016-06-20;dist_field;L;>;1000;m;NA
D;22.06.2016;D_2016-06-22;dist_field;R;>;1000;m;NA
D;22.06.2016;D_2016-06-22;dist_field;L;NA;50;m;NA
E;20.06.2016;E_2016-06-20;dist_field;R;NA;10;m;NA
E;20.06.2016;E_2016-06-20;dist_field;L;NA;10;m;NA
F;20.06.2016;F_2016-06-20;dist_field;R;NA;20;m;NA
F;20.06.2016;F_2016-06-20;dist_field;L;NA;10;m;NA
G;20.06.2016;G_2016-06-20;dist_field;R;NA;20;m;NA
G;20.06.2016;G_2016-06-20;dist_field;L;NA;50;m;NA
H;20.06.2016;H_2016-06-20;dist_field;R;<;1000;m;NA
H;20.06.2016;H_2016-06-20;dist_field;L;NA;50;m;NA
I;20.06.2016;I_2016-06-20;dist_field;R;NA;10;m;NA
I;20.06.2016;I_2016-06-20;dist_field;L;NA;5;m;NA
K;21.06.2016;K_2016-06-21;dist_field;R;NA;70;m;NA
K;21.06.2016;K_2016-06-21;dist_field;L;NA;20;m;NA
L;21.06.2016;L_2016-06-21;dist_field;R;NA;25;m;NA
L;21.06.2016;L_2016-06-21;dist_field;L;NA;5;m;NA
M;21.06.2016;M_2016-06-21;dist_field;R;NA;30;m;NA
M;21.06.2016;M_2016-06-21;dist_field;L;>;1000;m;NA
N;21.06.2016;N_2016-06-21;dist_field;R;NA;10;m;NA
N;21.06.2016;N_2016-06-21;dist_field;L;>;1000;m;NA
O;22.06.2016;O_down_2016-06-22;dist_field;R;NA;20;m;Gewächshaus
O;22.06.2016;O_down_2016-06-22;dist_field;L;NA;1;m;NA
P;22.06.2016;P_2016-06-22;dist_field;R;NA;10;m;NA
P;22.06.2016;P_2016-06-22;dist_field;L;NA;5;m;NA
Q;22.06.2016;Q_2016-06-22;dist_field;R;NA;5;m;NA
Q;22.06.2016;Q_2016-06-22;dist_field;L;NA;1000;m;NA
R;22.06.2016;R_2016-06-22;dist_field;R;NA;3;m;NA
R;22.06.2016;R_2016-06-22;dist_field;L;NA;5;m;NA
S;22.06.2016;S_2016-06-22;dist_field;R;NA;25;m;NA
S;22.06.2016;S_2016-06-22;dist_field;L;NA;25;m;NA
T;22.06.2016;T_2016-06-22;dist_field;R;NA;20;m;NA
T;22.06.2016;T_2016-06-22;dist_field;L;NA;20;m;NA
