Code;site;Rainfallevent;duration;No_disks;Vol_evap;Vol_used;Vol_total;measures where;not_using;comment
CH21;A;2;5;2;1000;3.378101266;6.803670886;Eawag;;
CH22;B;2;5;1;1000;3.333417722;7.150379747;Eawag;;
CH23;C;2;5;1;1000;3.303670886;8.078101266;Eawag;;
CH24;C;2;5;1;1000;3.289746835;6.89278481;Eawag;x;half burried in Sediment
CH25;D;2;5;2;1000;3.644303797;7.082911392;Eawag;;
CH26;E;2;5;1;1000;3.721265823;7.891012658;Eawag;x;flow clearly lower thank other E
CH27;E;2;5;1;1000;3.685189873;7.100126582;Eawag;;
CH28;F;2;5;2;1000;3.743291139;7.159367089;Eawag;;
CH29;G;2;5;2;500;1.742405063;7.050759494;Eawag;;
CH30;H;2;5;2;1000;3.734050633;6.639367089;Eawag;;
CH31;I;2;5;1;1000;3.72443038;7.483924051;Eawag;x;a lot organic material
CH32;I;2;5;1;500;3.708227848;7.242025316;Eawag;;
CH33;K;2;5;2;1000;3.743164557;7.15278481;Eawag;;
CH34;L;2;5;2;1000;3.713417722;7.405189873;Eawag;;
CH35;M;2;5;2;1000;3.545822785;6.972531646;Eawag;;
CH36;N;2;5;2;500;1.825696203;7.093670886;Eawag;;
CH37;O;2;5;2;1000;3.686708861;7.200253165;Eawag;;
CH38;P;2;5;2;500;1.74721519;6.802025316;Eawag;;
CH39;Q;2;5;2;1000;3.761392405;7.010759494;Eawag;;
CH40;R;2;5;2;1000;3.691392405;7.31278481;Eawag;;
CH41;S;2;5;2;1000;3.550126582;7.205696203;Eawag;;
CH42;T;2;5;2;500;1.860506329;7.177341772;Eawag;;
CH43;A;3;6;2;1000;3.581392405;6.734556962;Eawag;;
CH44;B;3;6;1;500;3.697468354;7.943417722;Eawag;;
CH45;B;3;6;1;500;3.607974684;7.100506329;Eawag;x;covered with plastic materials
CH46;C;3;6;2;1000;3.717594937;7.368607595;Eawag;;
CH47;D;3;6;2;1000;3.736455696;7.14835443;Eawag;;
CH48;E;3;6;1;500;3.687341772;7.751772152;Eawag;x;flow nearly zero
CH49;E;3;6;1;500;3.689620253;7.638101266;Eawag;;
CH50;F;3;6;2;1000;3.712278481;6.941265823;Eawag;;
CH51;G;3;6;2;1000;3.727468354;7.753037975;Eawag;;
CH52;H;3;6;1;500;3.679620253;7.065189873;Eawag;x;covered completely with clothes
CH53;H;3;6;1;500;3.699240506;7.436835443;Eawag;;
CH54;I;3;6;2;1000;3.67835443;6.973797468;Eawag;;
CH55;K;3;6;1;500;3.744556962;7.637088608;Eawag;x;completely burried in Sediment
CH56;K;3;6;1;500;3.649240506;7.386708861;Eawag;;
CH57;L;3;6;1;500;3.724556962;6.85443038;Eawag;;burried
CH58;M;3;6;1;500;3.734303797;7.84164557;Eawag;;half burried in Sediment
CH59;M;3;2;1;500;3.744936709;7.26556962;Eawag;x;substituted two days earlier
CH60;N;3;6;2;1000;3.781012658;7.268227848;Eawag;;
CH61;P;3;6;2;1000;3.799240506;7.031139241;Eawag;;
CH62;Q;3;6;2;1000;3.758227848;7.195189873;Eawag;;
CH63;R;3;6;2;1000;3.730379747;7.361265823;Eawag;;
