Compound;type
2-4-D;Herbicide
2-4-dimethylphenylformamid;Metabolite
2-6-Dichlorbenzamid;Metabolite
2-Amino-4-methoxy-6-methyl-1-3-5-triazin;Metabolite
2-Aminobenzimidazol;Metabolite
2-n-Octyl-4-isothiazolin-3-on-(OIT);Fungicide
5-Chloro-2-methyl-4-isothiazolin-3-on-(CMI);Biozide
Acetamiprid;Insecticide
Acetochlor;Herbicide
Alachlor;Herbicide
Amidosulfuron;Herbicide
Atraton;Herbicide
Atrazin;Herbicide
Atrazin-Desethyl;Metabolite
Atrazin-Desisopropyl;Metabolite
Azoxystrobin;Fungicide
Bentazon;Herbicide
Benthiavalicarb-isopropyl;Fungicide
Boscalid;Fungicide
Bromoxynil;Herbicide
Carbendazim;Fungicide
Chlortoluron;Herbicide
Clothianidin;Insecticide
Cymoxanil;Fungicide
Cyproconazol;Fungicide
Cyprodinil;Fungicide
Diazinon;Insecticide
Diazoxon;Metabolite
Dicamba;Herbicide
Dichlorprop;Herbicide
Dichlorvos;Insecticide
Difenoconazol;Fungicide
Dimethachlor-ESA;Metabolite
Dimethenamid;Herbicide
Dimethenamid-OXA;Metabolite
Dimethoat;Insecticide
Dimethomorph;Fungicide
Dinoseb;Herbicide
Diuron;Herbicide
Diuron-desdimethyl-1-(3-4-Dichlorophenyl)urea;Metabolite
Diuron-desmonomethyl-(DCPMU)-1-(3-4-Dichlorophenyl)-3-methylurea;Metabolite
Epoxiconazol;Fungicide
Ethofumesat;Herbicide
Fenamidone;Fungicide
Fipronil;Insecticide
Fluazifop;Metabolite
Fludioxonil;Fungicide
Fluopicolide;Fungicide
Fluopyram;Fungicide
Foramsulfuron;Herbicide
Imazamox;Herbicide
Imidacloprid;Insecticide
Imidacloprid-urea;Metabolite
Iprovalicarb;Fungicide
Irgarol;Herbicide
Isoproturon;Herbicide
Isoproturon-didemethyl-1-(4-Isoprophenyl)urea;Metabolite
Isoproturon-monodemethyl-1-(4-Isoprophenyl)-3-methylurea;Metabolite
Lenacil;Herbicide
Maleic-hydrazide;Herbicide
Mandipropamid;Fungicide
MCPA;Herbicide
Metalaxyl;Fungicide
Metamitron;Herbicide
Metamitron-Desamino;Metabolite
Metazachlor-ESA;Metabolite
Methidathion;Insecticide
Metolachlor;Herbicide
Metolachlor-Morpholinon;Metabolite
Metolachlor-OXA;Metabolite
Metoxuron;Herbicide
Metribuzin;Herbicide
Metribuzin-Desamino-(DA);Metabolite
Metsulfuron-methyl;Herbicide
Monolinuron;Herbicide
Monuron;Herbicide
Myclobutanil;Fungicide
N-N-diethyl-3-methylbenzamid-(DEET);Insecticide
Nicosulfuron;Herbicide
Oryzalin;Herbicide
Pencycuron;Fungicide
Picaridin-(Icaridin);Insecticide
Picoxystrobin;Fungicide
Piperonyl-butoxide;Other substance, Veterinary substance
Prochloraz;Fungicide
Prometon;Herbicide
Prometryn;Herbicide
Propachlor;Herbicide
Propachlor-ESA;Metabolite
Propamocarb;Fungicide
Propiconazol;Fungicide
Prosulfocarb;Herbicide
Prothioconazole-desethio;Metabolite
Pyrimethanil;Fungicide
Pyrimidinol;Metabolite
Rimsulfuron;Herbicide
Simazin;Herbicide
Simazin-2-hydroxy;Metabolite
Tebuconazol;Fungicide
Tembotrione;Herbicide
Terbumeton;Herbicide
Terbutryn;Herbicide
Terbutylazin;Herbicide
Terbutylazin-desethyl;Metabolite
Thiabendazol;Fungicide
Thiacloprid;Insecticide
Thiacloprid-amide;Metabolite
Thiamethoxam;Insecticide
Thiencarbazone;Herbicide
Thifensulfuron-methyl;Herbicide
Tribenuron-methyl;Herbicide
Triclosan;Biozide
Trifloxystrobin;Fungicide
Triflusulfuron-methyl;Herbicide
Trinexapac-ethyl;Plant growth regulator
