casnr;subst_name;variable_id;cas;ec50f_al4896_fin;ec50f_al4896_tax;ec50f_al4896_n;ec50f_al4896_src;ec50f_da48_fin;ec50f_da48_tax;ec50f_da48_n;ec50f_da48_src;ec50f_fi96_fin;ec50f_fi96_tax;ec50f_fi96_n;ec50f_fi96_src;ec50f_ma4896_fin;ec50f_ma4896_tax;ec50f_ma4896_n;ec50f_ma4896_src
100027;4-nitrophenol;NA;NA;4540;Pseudokirchneriella subcapitata;1;malaj;15200;Daphnia magna;1;malaj;45633;Pimephales promelas;1;malaj;15200;Daphnia magna;1;malaj
10004441;Hymexazol;907;NA;220;Scenedesmus subspicatus;1;epa;28000;Daphnia magna;1;ppdb;1.00E+05;Lepomis macrochirus;2;epa;28000;Daphnia magna;1;ppdb
1002535;Dibutyltin;NA;NA;6544;Pseudokirchneriella subcapitata;1;malaj;900;Daphnia magna;1;malaj;NA;NA;NA;NA;900;Daphnia magna;1;malaj
100414;Ethylbenzene;NA;NA;5300;Pseudokirchneriella subcapitata;1;malaj;18870;Daphnia magna;1;malaj;12100;Pimephales promelas;1;malaj;18870;Daphnia magna;1;malaj
100425;Styrene;NA;NA;1218;Pseudokirchneriella subcapitata;1;malaj;4721;Daphnia magna;1;malaj;15928;Pimephales promelas;1;malaj;4721;Daphnia magna;1;malaj
100728845;imazamethabenz;NA;100728-84-5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1007289;Desisopropylatrazin;249;NA;2;Pseudokirchneriella subcapitata;2;epa;132340;Daphnia magna;1;malaj;NA;NA;NA;NA;3000;Diporeia sp.;2;epa
101007061;acrinathrin;NA;NA;3.5;Pseudokirchneriella subcapitata;1;ppdb;0.022;Daphnia magna;1;ppdb;6.1;Oncorhynchus mykiss;1;ppdb;0.022;Daphnia magna;1;ppdb
101200480;Tribenuron-methyl;830;NA;110;Pseudokirchneriella subcapitata;1;ppdb;894000;Daphnia magna;1;ppdb;132000;Cyprinodon variegatus;7;epa;139000;Americamysis bahia;2;epa
101213;Chlorpropham;883;NA;430;Pseudokirchneriella subcapitata;5;epa;2600;Daphnia magna;1;ppdb;3020;Oncorhynchus mykiss;4;epa;2600;Daphnia magna;1;ppdb
101428;fenuron;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;204000;Oncorhynchus mykiss;2;epa;NA;NA;NA;NA
101463698;flufenoxuron;NA;NA;5110;Pseudokirchneriella subcapitata;1;ppdb;0.043;Daphnia magna;1;ppdb;NA;NA;NA;NA;0.043;Daphnia magna;1;ppdb
1014693;Desmetryn;252;NA;25;Pseudokirchneriella subcapitata;1;malaj;26000;Daphnia magna;1;malaj;11500;Rasbora heteromorpha;1;epa;26000;Daphnia magna;1;malaj
101553;4-bromophenyl phenyl ether;NA;NA;NA;NA;NA;NA;360;Daphnia magna;1;malaj;575;Pimephales promelas;1;malaj;360;Daphnia magna;1;malaj
1024573;Heptachlorepoxid;357;NA;40;Pseudokirchneriella subcapitata;1;malaj;240;Daphnia magna;1;malaj;5.3;Lepomis macrochirus;2;epa;240;Daphnia magna;1;malaj
10265926;Methamidophos;413;NA;300;Nitzschia sp.;4;epa;270;Daphnia magna;1;malaj;5630;Cyprinodon variegatus;16;epa;0.00219;Macrobrachium rosenbergii;16;epa
102851069;tau-Fluvalinat;638;NA;NA;NA;NA;NA;8.9;Daphnia magna;1;ppdb;0.794;Oncorhynchus mykiss;1;ppdb;0.0061;Americamysis bahia;10;epa
103055078;lufenuron;NA;103055-07-8;NA;NA;NA;NA;NA;NA;NA;NA;73100;Oncorhynchus mykiss;1;epa;1847;Aedes aegypti;2;epa
1031078;Endosulfansulfat;785;NA;NA;NA;NA;NA;760;Daphnia magna;1;ppdb;1.4;Oncorhynchus mykiss;1;epa;1.2;Jappa kutera;6;epa
103361097;Flumioxazin;901;NA;0.852;Pseudokirchneriella subcapitata;1;ppdb;5900;Daphnia magna;1;ppdb;2300;Oncorhynchus mykiss;1;ppdb;230;Americamysis bahia;2;epa
104040780;Flazasulfuron;734;NA;1.29;Pseudokirchneriella subcapitata;5;epa;106000;Daphnia magna;1;epa;98000;Lepomis macrochirus;3;epa;106000;Daphnia magna;2;epa
104098488;Imazapic;854;NA;NA;NA;NA;NA;NA;NA;NA;NA;98700;Cyprinodon variegatus;1;epa;97700;Americamysis bahia;1;epa
104206828;Mesotrion;641;NA;6786;Pseudokirchneriella subcapitata;2;epa;840000;Daphnia magna;1;epa;114000;Oncorhynchus mykiss;4;epa;3300;Americamysis bahia;2;epa
104405;4-nonylphenol;NA;NA;515;Pseudokirchneriella subcapitata;1;malaj;135;Daphnia magna;1;malaj;140;Pimephales promelas;1;malaj;135;Daphnia magna;1;malaj
104653341;difethialone;NA;104653-34-1;NA;NA;NA;NA;4.4;Daphnia magna;1;epa;51;Oncorhynchus mykiss;2;epa;4.4;Daphnia magna;1;epa
105512069;Clodinafop-propargyl;704;NA;3000;Navicula pelliculosa;3;epa;2000;Daphnia magna;2;epa;240;Lepomis macrochirus;4;epa;2000;Daphnia magna;2;epa
106040486;Tribenuron;602;NA;10000;Scenedesmus quadricauda;5;epa;894000;Daphnia magna;1;ppdb;560000;Oncorhynchus mykiss;1;ppdb;894000;Daphnia magna;1;ppdb
10605217;Carbendazim;191;NA;340;Chlorella pyrenoidosa;4;epa;150;Daphnia magna;1;ppdb;19;Ictalurus punctatus;34;epa;98;Americamysis bahia;14;epa
106423;P-xylene;NA;NA;3752;Pseudokirchneriella subcapitata;1;malaj;32400;Daphnia magna;1;malaj;8400;Pimephales promelas;1;malaj;32400;Daphnia magna;1;malaj
106434;4-chlorotoluene;NA;NA;7243;Pseudokirchneriella subcapitata;1;malaj;3570;Daphnia magna;1;malaj;NA;NA;NA;NA;3570;Daphnia magna;1;malaj
106444;p-cresol;NA;NA;10148;Pseudokirchneriella subcapitata;1;malaj;4550;Daphnia magna;1;malaj;16500;Pimephales promelas;1;malaj;4550;Daphnia magna;1;malaj
1066519;aminomethylphosphonic acid;NA;NA;2.00E+05;Pseudokirchneriella subcapitata;1;ppdb;690000;Daphnia magna;1;ppdb;520000;Oncorhynchus mykiss;1;ppdb;690000;Daphnia magna;1;ppdb
106700292;pethoxamid;NA;NA;NA;NA;NA;NA;23000;Daphnia magna;1;ppdb;2200;Oncorhynchus mykiss;1;ppdb;23000;Daphnia magna;1;ppdb
106898;1-CHLORO-2,3-EPOXYPROPANE;NA;106-89-8;NA;NA;NA;NA;23250;Daphnia magna;4;epa;12700;Pimephales promelas;9;epa;23250;Daphnia magna;4;epa
106934;1,2-dibromoethane;NA;NA;NA;NA;NA;NA;119000;Daphnia magna;1;malaj;NA;NA;NA;NA;119000;Daphnia magna;1;malaj
107062;1,2-Dichloroethane;NA;NA;NA;NA;NA;NA;507000;Daphnia magna;1;malaj;136000;Pimephales promelas;1;malaj;507000;Daphnia magna;1;malaj
1070786;1,1,1,3-tetrachloropropane;NA;NA;NA;NA;NA;NA;11184;Daphnia magna;1;malaj;NA;NA;NA;NA;11184;Daphnia magna;1;malaj
107131;Acrylonitrile;NA;NA;NA;NA;NA;NA;8800;Daphnia magna;1;malaj;16980;Pimephales promelas;1;malaj;8800;Daphnia magna;1;malaj
1071836;Glyphosate;349;NA;5.3;Gomphonema sp.;28;epa;40000;Daphnia magna;1;malaj;530;Clarias gariepinus;91;epa;7000;Orconectes nais;24;epa
107534963;Tebuconazol;578;NA;1450;Scenedesmus subspicatus;1;epa;2790;Daphnia magna;1;ppdb;2370;Cyprinus carpio;7;epa;460;Americamysis bahia;2;ppdb
108383;M-xylene;NA;NA;4368;Pseudokirchneriella subcapitata;1;malaj;17584;Daphnia magna;1;malaj;16000;Pimephales promelas;1;malaj;17584;Daphnia magna;1;malaj
1085989;Dichlofluanid;672;NA;130;Pseudokirchneriella subcapitata;3;epa;420;Daphnia magna;1;ppdb;10;Oncorhynchus mykiss;1;ppdb;420;Daphnia magna;1;ppdb
108883;Toluene;NA;NA;10950;Pseudokirchneriella subcapitata;1;malaj;6000;Daphnia magna;1;malaj;36200;Pimephales promelas;1;malaj;6000;Daphnia magna;1;malaj
108907;Chlorobenzene;NA;NA;12500;Pseudokirchneriella subcapitata;1;malaj;19241;Daphnia magna;1;malaj;25185;Pimephales promelas;1;malaj;19241;Daphnia magna;1;malaj
110235477;mepanipyrim;NA;NA;230;Pseudokirchneriella subcapitata;1;ppdb;630;Daphnia magna;1;ppdb;NA;NA;NA;NA;630;Daphnia magna;1;ppdb
110488705;Dimethomorph;NA;NA;23800;Scenedesmus subspicatus;3;epa;10600;Daphnia magna;1;epa;6200;Oncorhynchus mykiss;4;epa;10600;Daphnia magna;2;epa
1113026;omethoate;NA;NA;167500;Scenedesmus subspicatus;1;ppdb;21;Daphnia magna;1;malaj;1510;Aphanius fasciatus;6;epa;21;Daphnia magna;1;malaj
11141176;Azadirachtin (Neem);875;NA;NA;NA;NA;NA;370;Daphnia pulex;31;epa;4000;Oncorhynchus mykiss;7;epa;14;Procambarus clarkii;52;epa
111988499;Thiacloprid;588;NA;45000;Scenedesmus subspicatus;1;epa;85100;Daphnia magna;1;ppdb;19700;Cyprinodon variegatus;6;epa;4.6;Baetis rhodani;22;epa
111991094;Nicosulfuron;457;NA;1000;Pseudokirchneriella subcapitata;7;epa;90000;Daphnia magna;1;ppdb;65700;Oncorhynchus mykiss;1;ppdb;90000;Daphnia magna;1;ppdb
112050;Pelargonsäure;921;NA;NA;NA;NA;NA;96000;Daphnia magna;1;epa;91000;Oncorhynchus mykiss;3;epa;96000;Daphnia magna;1;epa
112143825;triazamate;NA;112143-82-5;NA;NA;NA;NA;14;Daphnia magna;2;epa;530;Oncorhynchus mykiss;4;epa;14;Daphnia magna;3;epa
