site;field size mean;field size median;field size geom mean
A;1407.176471;1285;1030.249089
B;14352.42857;9599;9030.705358
C;7441.2;6209;4356.523445
D;16645;19234;15848.85362
E;7314.666667;5533;6422.674185
F;2425.7;1932.5;1273.458529
G;2183.727273;1618.5;1743.425667
H;5445.333333;4400;5248.281003
I;3709.833333;2934.5;3158.797212
K;3468.363636;3535;2830.061691
L;536.7142857;440;496.5412005
M;7489.5;7489.5;7407.75931
N;7693;2875;3803.714648
O;3950.384615;914;1002.085582
P;4060.666667;2527;2611.854434
Q;46455.5;46455.5;46028.72662
R;25791;21504;20336.55471
S;2787.285714;1927.5;2068.368639
T;3487;2292.5;2808.448747
