"site","N_det_Sampling_1","N_det_Sampling_2","N_det_Sampling_3","N_det_Sampling_4","mean_N_det","median_N_det","N_det_all","N_conc_Sampling_1","N_conc_Sampling_2","N_conc_Sampling_3","N_conc_Sampling_4","mean_N_conc","median_N_conc","sum_conc_Sampling_1","sum_conc_Sampling_2","sum_conc_Sampling_3","sum_conc_Sampling_4","mean_sum_conc","median_sum_conc","max_sum_conc","max_conc_Sampling_1","max_conc_Sampling_2","max_conc_Sampling_3","max_conc_Sampling_4","which_max_conc_Sampling_1","which_max_conc_Sampling_2","which_max_conc_Sampling_3","which_max_conc_Sampling_4","max_conc_all","which_max_conc_all","max_TU_iv_Sampling_1","max_TU_iv_Sampling_2","max_TU_iv_Sampling_3","max_TU_iv_Sampling_4","whichmax_TU_iv_Sampling_1","whichmax_TU_iv_Sampling_2","whichmax_TU_iv_Sampling_3","whichmax_TU_iv_Sampling_4","max_TU_iv_all","whichmax_TU_iv_all","sumTU_iv_Sampling_1","sumTU_iv_Sampling_2","sumTU_iv_Sampling_3","sumTU_iv_Sampling_4","mean_sumTU_iv","median_sumTU_iv","max_sumTU_iv","N_75_iv_Sampling_1","N_75_iv_Sampling_2","N_75_iv_Sampling_3","N_75_iv_Sampling_4","max_TU_al_Sampling_1","max_TU_al_Sampling_2","max_TU_al_Sampling_3","max_TU_al_Sampling_4","whichmax_TU_al_Sampling_1","whichmax_TU_al_Sampling_2","whichmax_TU_al_Sampling_3","whichmax_TU_al_Sampling_4","max_TU_al_all","whichmax_TU_al_all","sumTU_al_Sampling_1","sumTU_al_Sampling_2","sumTU_al_Sampling_3","sumTU_al_Sampling_4","mean_sumTU_al","median_sumTU_al","max_sumTU_al","N_75_al_Sampling_1","N_75_al_Sampling_2","N_75_al_Sampling_3","N_75_al_Sampling_4"
"A",9,27,25,28,22.25,26,35,9,17,17,18,15.25,17,0.0371459127075733,0.754714991790659,0.165618718482078,0.112971105029387,0.267612682002424,0.139294911755732,0.754714991790659,0.0207541097079695,0.568779024287311,0.0654851274954285,0.0483496341276725,"2,4-D","2,4-D","2,4-D","2,4-D",0.568779024287311,"2,4-D",-3.03476210625921,-1.60818023350812,-1.07732643797009,-1.58597332926824,"alpha-Cypermethrin","Diazinon","Diazinon","Diazinon",-1.07732643797009,"Diazinon",-2.81052849600986,-1.44843210987921,-1.05872106310491,-1.48397276027012,-1.70041360731602,-1.46620243507466,-1.05872106310491,2,2,1,1,-3.33596932713704,-1.98541911760279,-2.47544596149475,-3.04450450237379,"Metribuzin","2,4-D","Metribuzin","Metribuzin",-1.98541911760279,"2,4-D",-2.95466140485497,-1.67717518172868,-2.17269473734644,-2.5172734800875,-2.3304512010044,-2.34498410871697,-1.67717518172868,2,3,3,2
"B",11,16,19,26,18,17.5,34,11,13,15,19,14.5,14,0.101097207065429,0.126820442347325,0.118434273307126,0.0824945348939547,0.107211614403459,0.109765740186277,0.126820442347325,0.0506698819962842,0.0568348168778114,0.0814570392671198,0.0246413398460621,"Metribuzin","Tebuconazol","Metribuzin","Dimethomorph",0.0814570392671198,"Metribuzin",-3.32851125635388,-1.95319740346174,-1.37438600090175,-1.37724255313282,"Imidacloprid","Diazinon","Diazinon","Diazinon",-1.37438600090175,"Diazinon",-3.10562160897763,-1.93404946642024,-1.34914730019816,-1.36180177103584,-1.93765503665797,-1.64792561872804,-1.34914730019816,1,4,1,1,-2.48837470547927,-2.55392631861709,-2.28219597769312,-2.95844932858569,"Metribuzin","Metribuzin","Metribuzin","Metribuzin",-2.28219597769312,"Metribuzin",-2.26395016823796,-2.43067999076805,-2.17640298639373,-2.68368097717426,-2.3886785306435,-2.34731507950301,-2.17640298639373,2,3,2,4
"C",14,29,30,33,26.5,29.5,40,14,20,21,24,19.75,20.5,0.43964753073566,2.89522962089827,1.29328210235652,0.495304059027922,1.28086582825459,0.89429308069222,2.89522962089827,0.155291621992282,1.11762828446713,0.506905263051666,0.1793124457069,"Terbuthylazin","2,4-D","2,4-D","Dimethoat",1.11762828446713,"2,4-D",-2.84627847183646,-0.977038271872455,-1.98751340928488,-0.856979276206964,"Terbuthylazin","Imidacloprid","Diazinon","Dimethoat",-0.856979276206964,"Dimethoat",-2.2765403747279,-0.859192375081439,-1.52160922047922,-0.813541735497349,-1.36772092644648,-1.19040079778033,-0.813541735497349,1,2,2,2,-1.88803321994346,-1.26858280460089,-1.45058988310853,-2.08995072893329,"Terbuthylazin","Atrazin","Terbuthylazin","Terbuthylazin",-1.26858280460089,"Atrazin",-1.57468189459835,-0.740868821319566,-1.10431635990949,-1.72133330048816,-1.28530009407889,-1.33949912725392,-0.740868821319566,3,1,1,2
"D",10,25,27,36,24.5,26,45,9,18,22,24,18.25,20,0.114037336068276,0.565138101644516,0.301235593612747,0.431422478876246,0.352958377550446,0.366329036244497,0.565138101644516,0.0473831419454724,0.283868600836544,0.155440843514785,0.132508180250627,"2,4-D","Terbuthylazin","Metribuzin","Atrazin",0.283868600836544,"Terbuthylazin",-1.62251865156872,-0.819948276382642,-0.768807324154534,-0.18996249124139,"Diazinon","Diazinon","Diazinon","Diazinon",-0.18996249124139,"Diazinon",-1.60847206700353,-0.803041141655054,-0.754148578053816,-0.179197844996989,-0.836214907927347,-0.778594859854435,-0.179197844996989,2,3,1,1,-2.63888492751462,-1.62606388887779,-1.90886741609457,-1.91914999535297,"Metribuzin","Terbuthylazin","Irgarol","Atrazin",-1.62606388887779,"Terbuthylazin",-2.26810723571519,-1.5201141886909,-1.5498835420256,-1.55622832008105,-1.72358332162819,-1.55305593105333,-1.5201141886909,2,1,4,2
"E",13,25,40,40,29.5,32.5,50,13,19,28,28,22,23.5,0.173086079548424,0.501516213021023,1.08849147963382,0.378335283575734,0.535357263944752,0.439925748298379,1.08849147963382,0.0735693669849058,0.170599634334347,0.359052109512936,0.110367408078959,"2,4-D","Terbuthylazin","Terbuthylazin","Terbuthylazin",0.359052109512936,"Terbuthylazin",-2.27531795843136,-0.543898592609148,-0.523696456907104,-0.92235536986714,"Imidacloprid","Diazinon","Diazinon","Diazinon",-0.523696456907104,"Diazinon",-2.16895807000562,-0.424329057882753,-0.40732836799135,-0.791101687747044,-0.947929295906692,-0.607715372814898,-0.40732836799135,1,1,2,2,-2.4533442519965,-1.84720315008802,-1.52402376339793,-1.60325348415885,"Metribuzin","Terbuthylazin","Terbuthylazin","MCPA",-1.52402376339793,"Terbuthylazin",-2.02985716914934,-1.68009173667552,-1.34324982574376,-1.34106697163234,-1.59856642580024,-1.51167078120964,-1.34106697163234,4,2,1,3
"F",12,27,35,42,29,31,45,11,20,24,27,20.5,22,1.55792629087586,2.93034022907334,5.19966800569051,1.86129573319685,2.88730756470914,2.3958179811351,5.19966800569051,0.839170475464428,2.52370360911349,2.95054136488228,1.03736935960723,"Metribuzin","2,4-D","2,4-D","2,4-D",2.95054136488228,"2,4-D",-1.63378338126875,-1.25122085143493,-0.761026669080942,-1.00001268070572,"Diazinon","Imidacloprid","Diazinon","Imidacloprid",-0.761026669080942,"Diazinon",-1.57048305937154,-1.11359005685666,-0.51244761960904,-0.809184007567585,-1.00142618585121,-0.961387032212122,-0.51244761960904,1,1,2,2,-1.26927440268331,-1.33832434069904,-0.892740468730807,-1.42738499718787,"Metribuzin","2,4-D","Terbuthylazin","Terbuthylazin",-0.892740468730807,"Terbuthylazin",-1.12214764315494,-1.1342632457676,-0.70161443604705,-1.12013739337961,-1.0195406795873,-1.12114251826728,-0.70161443604705,2,1,2,3
"G",9,46,45,46,36.5,45.5,54,9,30,29,31,24.75,29.5,0.392238805270304,5.2987438428458,2.74991591297432,2.30871051516827,2.68740226906467,2.5293132140713,5.2987438428458,0.365275847351589,2.42206081046872,1.0751947436266,0.798855374497765,"2,4-D","2,4-D","2,4-D","Terbuthylazin",2.42206081046872,"2,4-D",-3.33431543045657,-0.612135976740623,-0.334555609782515,-0.377525276275846,"Imidacloprid","Imidacloprid","Diazinon","Imidacloprid",-0.334555609782515,"Diazinon",-2.90224537258651,-0.346086126104945,-0.168872933207713,-0.212146614730512,-0.907337761657419,-0.279116370417728,-0.168872933207713,1,1,3,1,-2.17774173260866,-1.03457307554727,-1.10175315624729,-1.17671308468459,"2,4-D","Terbuthylazin","Terbuthylazin","Terbuthylazin",-1.03457307554727,"Terbuthylazin",-1.90466698500929,-0.636539749894993,-0.828655515575172,-1.00248841639095,-1.0930876667176,-0.91557196598306,-0.636539749894993,2,3,3,2
"H",9,31,35,37,28,33,46,9,22,25,25,20.25,23.5,2.6851443199438,6.79176995464091,1.1159692728922,0.603091748182479,2.79899382391485,1.900556796418,6.79176995464091,2.29278502618506,5.80501451789649,0.732919012436033,0.235652130549451,"2,4-D","2,4-D","2,4-D","Terbuthylazin",5.80501451789649,"2,4-D",-1.58862310646087,-1.20309472231063,-1.240998477213,-0.496014829746153,"Diazinon","Diazinon","Diazinon","Diazinon",-0.496014829746153,"Diazinon",-1.47706627783103,-1.07419173340505,-1.13590623920202,-0.470524294551421,-1.03942213624738,-1.10504898630353,-0.470524294551421,1,2,3,1,-1.37999935274001,-0.976559379281072,-1.7943162037327,-1.70690987544364,"2,4-D","2,4-D","Terbuthylazin","Terbuthylazin",-0.976559379281072,"2,4-D",-1.14694890811394,-0.780023574486499,-1.46612327250358,-1.5507952596613,-1.23597275369133,-1.30653609030876,-0.780023574486499,2,4,3,1
"I",7,34,32,37,27.5,33,44,7,22,23,23,18.75,22.5,0.508929481311054,13.2961337089077,36.7971222442508,0.863255411035596,12.8663602113763,7.07969455997167,36.7971222442508,0.450106744740237,12.7520631498711,36.220310369691,0.401244626770494,"Metribuzin","2,4-D","2,4-D","Terbuthylazin",36.220310369691,"2,4-D",-3.28879553924697,-1.53801118740869,-1.21845059821315,-0.974066140229488,"Chlorpyrifos","Diazinon","Diazinon","Diazinon",-0.974066140229488,"Diazinon",-2.81308693821066,-1.34714550548212,-1.02818720988902,-0.853663540567988,-1.51052079853745,-1.18766635768557,-0.853663540567988,1,1,2,2,-1.5398090775699,-0.634782234754264,-0.181410522056606,-1.47577201640927,"Metribuzin","2,4-D","2,4-D","Terbuthylazin",-0.181410522056606,"2,4-D",-1.46017873828485,-0.57118551140543,-0.153301637169593,-1.31054001674133,-0.873801475900301,-0.94086276407338,-0.153301637169593,3,1,2,2
"K",11,30,24,27,23,25.5,35,11,21,19,18,17.25,18.5,0.105481929427336,0.475218303824656,0.365287332517631,0.0905013646554485,0.259122232606268,0.235384630972484,0.475218303824656,0.0376254164780658,0.145569321030867,0.147821846043785,0.0422345902656169,"Metribuzin","2,4-D","Terbuthylazin","Terbuthylazin",0.147821846043785,"Terbuthylazin",-1.45887120499449,-1.10813588159083,-0.619366332725687,-1.63586280253639,"Diazinon","Diazinon","Diazinon","Diazinon",-0.619366332725687,"Diazinon",-1.44220828032201,-1.03270980720816,-0.577637632587357,-1.60265133350453,-1.16380176340551,-1.23745904376509,-0.577637632587357,1,1,1,1,-2.59404553675387,-2.09718217767197,-1.9094426244708,-2.45351296077023,"Terbuthylazin","Terbuthylazin","Terbuthylazin","Terbuthylazin",-1.9094426244708,"Terbuthylazin",-2.26959601691381,-1.70320353173543,-1.70531984458657,-2.25442627125377,-1.98313641612239,-1.97987305792017,-1.70320353173543,2,2,3,2
