"Compound";"Code";"site";"Rainfallevent";"conc_water"
"1";"2-4-D";"CH39";"Q";"Sampling_2";0.0801215048809518
"2";"2-4-D";"CH35";"M";"Sampling_2";0.524294291024142
"3";"2-4-D";"CH85";"P";"Sampling_4";0.1279334923515
"4";"2-4-D";"CH66";"T";"Sampling_3";1.384929473484
"5";"2-4-D";"CH65";"S";"Sampling_3";3.66225204160745
"6";"2-4-D";"CH43";"A";"Sampling_3";0.0654851274945174
"7";"2-4-D";"CH41";"S";"Sampling_2";1.10442871743833
"8";"2-4-D";"CH68";"B";"Sampling_4";0.00530603175877975
"9";"2-4-D";"CH58";"M";"Sampling_3";0.297082104484892
"10";"2-4-D";"RO14";"N";"Sampling_1";0.0990036524247827
"11";"2-4-D";"CH54";"I";"Sampling_3";36.2203103677925
"12";"2-4-D";"CH84";"O";"Sampling_4";0.117888091509869
"13";"2-4-D";"CH36";"N";"Sampling_2";1.2685259460195
"14";"2-4-D";"CH49";"E";"Sampling_3";0.315404114742124
"15";"2-4-D";"RO3";"C";"Sampling_1";0.244375348885595
"16";"2-4-D";"CH27";"E";"Sampling_2";0.0859657894605522
"17";"2-4-D";"CH21";"A";"Sampling_2";0.568779024323498
"18";"2-4-D";"CH87";"Q";"Sampling_4";0.218549280183478
"19";"2-4-D";"CH50";"F";"Sampling_3";2.95054136478075
"20";"2-4-D";"CH38";"P";"Sampling_2";0.437438984191219
"21";"2-4-D";"RO13";"M";"Sampling_1";1.52042751081036
"22";"2-4-D";"CH93";"T";"Sampling_4";0.118403542095354
"23";"2-4-D";"CH70";"D";"Sampling_4";0.0242099126649352
"24";"2-4-D";"RO6";"E";"Sampling_1";0.220708100950226
"25";"2-4-D";"CH29";"G";"Sampling_2";2.42206080995096
"26";"2-4-D";"CH32";"I";"Sampling_2";12.7520631503253
"27";"2-4-D";"CH51";"G";"Sampling_3";1.07519474345857
"28";"2-4-D";"RO9";"H";"Sampling_1";6.87835507921682
"29";"2-4-D";"RO8";"G";"Sampling_1";1.09582754206101
"30";"2-4-D";"RO1";"A";"Sampling_1";0.0622623291316821
"31";"2-4-D";"CH57";"L";"Sampling_3";0.0150208181795996
"32";"2-4-D";"CH60";"N";"Sampling_3";0.271956429726417
"33";"2-4-D";"CH23";"C";"Sampling_2";1.11762828441692
"34";"2-4-D";"CH33";"K";"Sampling_2";0.14556932103492
"35";"2-4-D";"CH83";"N";"Sampling_4";0.106499870465454
"36";"2-4-D";"RO7";"F";"Sampling_1";1.79840230764123
"37";"2-4-D";"CH90";"S";"Sampling_4";1.98854355916907
"38";"2-4-D";"CH46";"C";"Sampling_3";0.50690526308701
"39";"2-4-D";"CH71";"E";"Sampling_4";0.0427621607712221
"40";"2-4-D";"CH62";"Q";"Sampling_3";0.0791732232558027
"41";"2-4-D";"RO19";"S";"Sampling_1";1.33729203145926
"42";"2-4-D";"CH61";"P";"Sampling_3";0.271893144133373
"43";"2-4-D";"CH47";"D";"Sampling_3";0.0666241675290784
"44";"2-4-D";"CH67";"A";"Sampling_4";0.0483496341267893
"45";"2-4-D";"CH56";"K";"Sampling_3";0.0958237866845631
"46";"2-4-D";"CH63";"R";"Sampling_3";0.021475091998942
"47";"2-4-D";"CH40";"R";"Sampling_2";0.118574375424683
"48";"2-4-D";"CH72";"F";"Sampling_4";1.0373693595082
"49";"2-4-D";"CH77";"I";"Sampling_4";0.211363412677771
"50";"2-4-D";"RO2";"B";"Sampling_1";0.0821822647798262
"51";"2-4-D";"CH74";"G";"Sampling_4";0.275127775883955
"52";"2-4-D";"RO17";"Q";"Sampling_1";0.0944409536873473
"53";"2-4-D";"RO15";"O";"Sampling_1";0.509857912017242
"54";"2-4-D";"CH69";"C";"Sampling_4";0.038060612255731
"55";"2-4-D";"CH88";"R";"Sampling_4";0.0232433950524386
"56";"2-4-D";"RO16";"P";"Sampling_1";0.28714243097137
"57";"2-4-D";"RO4";"D";"Sampling_1";0.142149425824144
"58";"2-4-D";"CH30";"H";"Sampling_2";5.80501451769115
"59";"2-4-D";"CH82";"M";"Sampling_4";0.0109601875655925
"60";"2-4-D";"CH28";"F";"Sampling_2";2.52370360881302
"61";"2-4-D";"CH37";"O";"Sampling_2";0.924557141780799
"62";"2-4-D";"CH42";"T";"Sampling_2";0.482798478070604
"63";"2-4-D";"CH25";"D";"Sampling_2";0.07085616108217
"64";"2-4-D";"CH78";"K";"Sampling_4";0.0142294870059802
"65";"2-4-D";"CH76";"H";"Sampling_4";0.208100459704798
"66";"2-4-D";"CH34";"L";"Sampling_2";0.0379783435113306
"67";"2-4-D";"CH53";"H";"Sampling_3";0.732919012374569
"115";"Acetamiprid";"CH29";"G";"Sampling_2";0.00111408871716921
"116";"Acetamiprid";"RO3";"C";"Sampling_1";0.0061823675031629
"117";"Acetamiprid";"CH88";"R";"Sampling_4";0.0008400380275125
"118";"Acetamiprid";"CH60";"N";"Sampling_3";0.00185234315975065
