"site","dist_landscape_lev","height_landscape_lev","bank_cover_forest","bank_height_forest","bank_cover_reed","bank_height_reed","bank_cover_shrubs","bank_height_shrubs","bank_cover_forbs","bank_height_forbs","bank_cover_meadow","bank_height_meadow","bank_cover_agri","bank_height_agri","bank_w.o_veg","dist_field"
"A",3,6,0,0,0,0,2.5,1,75,1.5,22.5,0.75,0,0,0,502.5
"B",5,3,0,0,2.5,0.75,25,3.5,27.5,0.5,32.5,0.4,0,0,12.5,10
"C",2,2,7.5,12,0,0,5,2,35,0.35,45,0.15,5,0.05,0,501.5
"D",3.5,6,30,6,0,0,30,4,27.5,1.25,12.5,0.5,0,0,0,525
"E",5,4,10,12,0,0,32.5,5,30,0.5,25,0.4,0,0,0.25,10
"F",2,3,2.5,5,0,0,47.5,6,50,1.5,0,0,0,0,0,15
"G",2,4,7.5,7.5,0,0,37.5,5,27.5,1.5,17.5,1.25,0,0,0,35
"H",3,3,15,6.5,0,0,45,5,25,0.4,15,0.35,0,0,0,525
"I",2,2,32.5,12.5,0,0,15,3.5,22.5,1.5,25,0.35,0,0,5,7.5
"K",7,3,35,15,0,0,17.5,3.5,40,1.5,7.5,0.5,0,0,0,45
"L",4.5,3,22.5,11,0,0,10,3.5,45,0.4,22.5,0.3,5,0.15,0,15
"M",8.5,2,40,17,0,0,10,3,35,1,15,0.5,0,0,0,515
"N",2,3,0,0,92.5,2,0,0,0,0,7.5,0.15,0,0,0,505
"O",1,1,0,0,60,1.7,0,0,20,0.7,20,0.5,0,0,0,10.5
"P",2.5,3,12.5,6,7.5,0.5,12.5,4,50,1,7.5,0.2,10,0,0,7.5
"Q",1,1,15,6,0,0,0,0,7.5,0.2,77.5,0.4,0,0,0,502.5
"R",2,1,0,0,20,1.7,10,2.5,2.5,0.25,67.5,0.5,0,0,0,4
"S",2,2,10,16,0,0,12.5,3,62.5,8.25,15,0.75,0,0,0,25
"T",2,5,7.5,11,0,0,12.5,4.5,55,1.5,25,0.75,0,0,0,20
