"site","Date","Megalithal","Makrolithal","Mesolithal","Mikrolithal","Akal","Psammal","Argyllal","Technolithal.1","Algae","Submersed.Makrophytes","Emersed.Makrophytes","Living.parts.of.terrestrial.plants","Xylal","CPOM","FPOM","Debris"
"A","24/06/2016",0,0,0,0,45,15,5,0,35,0,0,0,0,0,0,0
"B","24/06/2016",0,10,30,30,20,5,0,0,5,0,0,0,0,0,0,0
"C","24/06/2016",0,0,0,0,5,15,50,0,0,0,30,0,0,0,0,0
"D","24/06/2016",5,5,40,25,10,0,0,0,5,0,5,0,0,0,5,0
"E","24/06/2016",0,0,0,10,40,40,10,0,0,0,0,0,0,0,0,0
"F","24/06/2016",0,0,5,30,20,0,30,0,0,0,10,0,5,0,0,0
"G","24/06/2016",0,0,0,0,15,5,70,0,0,0,0,0,10,0,0,0
"H","24/06/2016",0,0,5,30,40,20,0,0,0,0,5,0,0,0,0,0
"I","24/06/2016",0,0,0,20,40,40,0,0,0,0,0,0,0,0,0,0
"K","24/06/2016",0,0,5,40,40,10,0,0,0,0,0,0,5,0,0,0
"L","24/06/2016",0,0,25,40,25,10,0,0,0,0,0,0,0,0,0,0
"M","24/06/2016",0,0,10,40,30,15,0,0,0,0,0,0,5,0,0,0
"N","24/06/2016",0,0,0,20,15,5,0,0,0,0,60,0,0,0,0,0
"O","25/06/2016",0,0,0,35,35,10,10,0,0,0,10,0,0,0,0,0
"P","25/06/2016",0,0,10,30,30,30,0,0,0,0,0,0,0,0,0,0
"Q","25/06/2016",0,0,0,0,0,10,50,0,0,0,20,0,0,20,0,0
"R","25/06/2016",0,0,0,0,0,60,30,0,0,0,0,10,0,0,0,0
"S","25/06/2016",0,0,5,35,30,25,0,0,0,0,0,0,5,0,0,0
"T","25/06/2016",0,0,0,20,30,40,0,5,0,0,0,0,5,0,0,0
